entity,kind,alpha,lam,energy_ha
H,atom,,,-0.49927840571434734
H,atom,0.001,0.0,-0.49631572383996864
H,atom,0.001,0.05,-0.5053958171637051
H,atom,0.001,0.1,-0.5143411509854647
H,atom,0.001,0.2,-0.5318354169373448
H,atom,0.005,0.0,-0.48725086352261054
H,atom,0.005,0.05,-0.49638912178106626
H,atom,0.005,0.1,-0.5053954166361367
H,atom,0.005,0.2,-0.5230184839147867
H,atom,0.01,0.0,-0.47632465567353705
H,atom,0.01,0.05,-0.48552920256319654
H,atom,0.01,0.1,-0.49460552507556643
H,atom,0.01,0.2,-0.5123781040070579
H,atom,0.02,0.0,-0.4556878690418695
H,atom,0.02,0.05,-0.4650064503060907
H,atom,0.02,0.1,-0.47420479319932085
H,atom,0.02,0.2,-0.4922423251013633
Li,atom,,,-7.427945208859253
Li,atom,0.001,0.0,-7.4356747032817045
Li,atom,0.001,0.05,-7.497600629512924
Li,atom,0.001,0.1,-7.558911624795865
Li,atom,0.001,0.2,-7.680465881054825
Li,atom,0.005,0.0,-7.362883092182042
Li,atom,0.005,0.05,-7.424717008285826
Li,atom,0.005,0.1,-7.485975306687587
Li,atom,0.005,0.2,-7.607473966037487
Li,atom,0.01,0.0,-7.272149257054467
Li,atom,0.01,0.05,-7.333888059590077
Li,atom,0.01,0.1,-7.395088981427928
Li,atom,0.01,0.2,-7.516510559101407
Li,atom,0.02,0.0,-7.091526600458522
Li,atom,0.02,0.05,-7.153129987752521
Li,atom,0.02,0.1,-7.214237876680903
Li,atom,0.02,0.2,-7.3354928983932925
C,atom,,,-37.716820777992545
C,atom,0.001,0.0,-37.73375301725572
C,atom,0.001,0.05,-37.89622410588912
C,atom,0.001,0.1,-38.052887642845604
C,atom,0.001,0.2,-38.34974222646922
C,atom,0.005,0.0,-37.66391772113359
C,atom,0.005,0.05,-37.82569490034169
C,atom,0.005,0.1,-37.98184677844714
C,atom,0.005,0.2,-38.27818912323865
N,atom,,,-54.423343297869415
N,atom,0.001,0.0,-54.452711673335216
N,atom,0.001,0.05,-54.61677095177476
N,atom,0.001,0.1,-54.77673738169261
N,atom,0.001,0.2,-55.084767330724574
N,atom,0.005,0.0,-54.39726933215195
N,atom,0.005,0.05,-54.561680366122786
N,atom,0.005,0.1,-54.72210249251777
N,atom,0.005,0.2,-55.03133202860736
N,atom,0.01,0.0,-54.3280183652466
N,atom,0.01,0.05,-54.49284317239291
N,atom,0.01,0.1,-54.65380237362497
N,atom,0.01,0.2,-54.964449240065136
N,atom,0.02,0.0,-54.189682844127034
N,atom,0.02,0.05,-54.35525958787868
N,atom,0.02,0.1,-54.5171972514979
N,atom,0.02,0.2,-54.830435106077545
O,atom,,,-74.83909567689305
O,atom,0.001,0.0,-74.89918429164867
O,atom,0.001,0.05,-75.07084753705179
O,atom,0.001,0.1,-75.23955807382575
O,atom,0.001,0.2,-75.56813720506632
O,atom,0.005,0.0,-74.83746888816086
O,atom,0.005,0.05,-75.01012349033121
O,atom,0.005,0.1,-75.17988460678671
O,atom,0.005,0.2,-75.51073214988763
O,atom,0.01,0.0,-74.76081982556424
O,atom,0.01,0.05,-74.93462908699051
O,atom,0.01,0.1,-75.1056112236088
O,atom,0.01,0.2,-75.43908573321788
O,atom,0.02,0.0,-74.60904429976003
O,atom,0.02,0.05,-74.78496771241801
O,atom,0.02,0.1,-74.9581945348204
O,atom,0.02,0.2,-75.29652593367712
F,atom,,,-99.43630836200519
F,atom,0.001,0.0,-99.5200149749938
F,atom,0.001,0.05,-99.69683876566954
F,atom,0.001,0.1,-99.8717519434396
F,atom,0.001,0.2,-100.21571345275308
F,atom,0.005,0.0,-99.44139762675141
F,atom,0.005,0.05,-99.61900169847691
F,atom,0.005,0.1,-99.79473306273249
F,atom,0.005,0.2,-100.1404411106539
F,atom,0.01,0.0,-99.3438950251024
F,atom,0.01,0.05,-99.52242535792237
F,atom,0.01,0.1,-99.69912961616704
F,atom,0.01,0.2,-100.04691927942946
F,atom,0.02,0.0,-99.15132734704493
F,atom,0.02,0.05,-99.33155864610819
F,atom,0.02,0.1,-99.51005447060083
F,atom,0.02,0.2,-99.86169254409572
S,atom,,,-397.4756315715174
S,atom,0.001,0.0,-397.77305188639036
S,atom,0.001,0.05,-398.633484690881
S,atom,0.001,0.1,-399.4616665592073
S,atom,0.001,0.2,-401.0231058138464
S,atom,0.005,0.0,-397.66308039750146
S,atom,0.005,0.05,-398.5180701799392
S,atom,0.005,0.1,-399.34169407579964
S,atom,0.005,0.2,-400.89671698812606
S,atom,0.01,0.0,-397.52630887595046
S,atom,0.01,0.05,-398.3749730360541
S,atom,0.01,0.1,-399.1933015647039
S,atom,0.01,0.2,-400.74085440675674
S,atom,0.02,0.0,-397.25487485095846
S,atom,0.02,0.05,-398.09230203252014
S,atom,0.02,0.1,-398.9012315783808
S,atom,0.02,0.2,-400.435500403549
Cl,atom,,,-459.45366209663587
Cl,atom,0.001,0.0,-459.77274293033685
Cl,atom,0.001,0.05,-460.5805480461809
Cl,atom,0.001,0.1,-461.3680704090401
Cl,atom,0.001,0.2,-462.8816629084657
Cl,atom,0.005,0.0,-459.6757989354352
Cl,atom,0.005,0.05,-460.4813287511863
Cl,atom,0.005,0.1,-461.2670462098468
Cl,atom,0.005,0.2,-462.77851523578215
Cl,atom,0.01,0.0,-459.5549678268932
Cl,atom,0.01,0.05,-460.3578468106897
Cl,atom,0.01,0.1,-461.1414663712255
Cl,atom,0.01,0.2,-462.6504790951594
H2,molecule,,,-1.1633394763160108
H2,molecule,0.001,0.0,-1.1553293384111716
H2,molecule,0.001,0.05,-1.1778490489049096
H2,molecule,0.001,0.1,-1.199947033138307
H2,molecule,0.001,0.2,-1.2429437119539009
H2,molecule,0.005,0.0,-1.136691753195205
H2,molecule,0.005,0.05,-1.1594954629125176
H2,molecule,0.005,0.1,-1.1818737036093967
H2,molecule,0.005,0.2,-1.2254182033759722
H2,molecule,0.01,0.0,-1.114004805754296
H2,molecule,0.01,0.05,-1.1371479373040512
H2,molecule,0.01,0.1,-1.159862075110996
H2,molecule,0.01,0.2,-1.204065756844136
H2,molecule,0.02,0.0,-1.070523247359489
H2,molecule,0.02,0.05,-1.0942959877061216
H2,molecule,0.02,0.1,-1.1176360888692585
H2,molecule,0.02,0.2,-1.1630759715232355
LiH,molecule,,,-8.00790370889957
LiH,molecule,0.001,0.0,-8.017846872259446
LiH,molecule,0.001,0.05,-8.101953340166714
LiH,molecule,0.001,0.1,-8.184268231934794
LiH,molecule,0.001,0.2,-8.344087918798579
LiH,molecule,0.005,0.0,-7.938042040790754
LiH,molecule,0.005,0.05,-8.022988516602737
LiH,molecule,0.005,0.1,-8.10615651055043
LiH,molecule,0.005,0.2,-8.267705520091525
LiH,molecule,0.01,0.0,-7.838984475975967
LiH,molecule,0.01,0.05,-7.924931224801187
LiH,molecule,0.01,0.1,-8.009110298302597
LiH,molecule,0.01,0.2,-8.172702475303755
LiH,molecule,0.02,0.0,-7.643100736005528
LiH,molecule,0.02,0.05,-7.730877443011043
LiH,molecule,0.02,0.1,-7.8168863954184635
LiH,molecule,0.02,0.2,-7.984138698616589
CH4,molecule,,,-40.36040260749506
CH4,molecule,0.001,0.0,-40.39392369016804
CH4,molecule,0.001,0.05,-40.64840187179948
CH4,molecule,0.001,0.1,-40.896572126566745
CH4,molecule,0.001,0.2,-41.37485206625622
CH4,molecule,0.005,0.0,-40.31302094170842
CH4,molecule,0.005,0.05,-40.57117537765421
CH4,molecule,0.005,0.1,-40.82290412543541
CH4,molecule,0.005,0.2,-41.30796804664836
CH4,molecule,0.01,0.0,-40.214229250501546
CH4,molecule,0.01,0.05,-40.47684569468744
CH4,molecule,0.01,0.1,-40.73289791166356
CH4,molecule,0.01,0.2,-41.22621572423545
CH4,molecule,0.02,0.0,-40.023748688147435
CH4,molecule,0.02,0.05,-40.294854966166874
CH4,molecule,0.02,0.1,-40.55914630728519
CH4,molecule,0.02,0.2,-41.06822752547708
NH3,molecule,,,-56.357534842132985
NH3,molecule,0.001,0.0,-56.41582233375722
NH3,molecule,0.001,0.05,-56.66386823906815
NH3,molecule,0.001,0.1,-56.90637901282294
NH3,molecule,0.001,0.2,-57.37567264972759
NH3,molecule,0.005,0.0,-56.35168788956233
NH3,molecule,0.005,0.05,-56.60282715388536
NH3,molecule,0.005,0.1,-56.84834818246563
NH3,molecule,0.005,0.2,-57.32343217006813
NH3,molecule,0.01,0.0,-56.27271350682531
NH3,molecule,0.01,0.05,-56.52760904960692
NH3,molecule,0.01,0.1,-56.77678643661635
NH3,molecule,0.01,0.2,-57.25890542545871
NH3,molecule,0.02,0.0,-56.11840701332352
NH3,molecule,0.02,0.05,-56.38045819639359
NH3,molecule,0.02,0.1,-56.6366052432612
NH3,molecule,0.02,0.2,-57.13214300228739
H2O,molecule,,,-76.17694754423033
H2O,molecule,0.001,0.0,-76.25590476976797
H2O,molecule,0.001,0.05,-76.48891678447418
H2O,molecule,0.001,0.1,-76.71788830419335
H2O,molecule,0.001,0.2,-77.16417572707637
H2O,molecule,0.005,0.0,-76.19189045343
H2O,molecule,0.005,0.05,-76.42716785152962
H2O,molecule,0.005,0.1,-76.6583534884223
H2O,molecule,0.005,0.2,-77.10893274504076
H2O,molecule,0.01,0.0,-76.11278732647907
H2O,molecule,0.01,0.05,-76.35081839995883
H2O,molecule,0.01,0.1,-76.58469468313416
H2O,molecule,0.01,0.2,-77.04048727003457
H2O,molecule,0.02,0.0,-75.95739375935497
H2O,molecule,0.02,0.05,-76.20068372605664
H2O,molecule,0.02,0.1,-76.43969707152051
H2O,molecule,0.02,0.2,-76.9054380876811
HF,molecule,,,-100.14095139638464
HF,molecule,0.001,0.0,-100.23433365249502
HF,molecule,0.001,0.05,-100.4423842247327
HF,molecule,0.001,0.1,-100.64814814457418
HF,molecule,0.001,0.2,-101.05284679308183
HF,molecule,0.005,0.0,-100.15666207779246
HF,molecule,0.005,0.05,-100.36591847917217
HF,molecule,0.005,0.1,-100.5728809185139
HF,molecule,0.005,0.2,-100.97996541499761
HF,molecule,0.01,0.0,-100.06043349507479
HF,molecule,0.01,0.05,-100.27116063158775
HF,molecule,0.01,0.1,-100.47958263845524
HF,molecule,0.01,0.2,-100.88956663421321
HF,molecule,0.02,0.0,-99.87068569337748
HF,molecule,0.02,0.05,-100.08424230243962
HF,molecule,0.02,0.1,-100.29546527759945
HF,molecule,0.02,0.2,-100.7109947399127
N2,molecule,,,-109.1800186491747
N2,molecule,0.001,0.0,-109.29769651719167
N2,molecule,0.001,0.05,-109.64197119512053
N2,molecule,0.001,0.1,-109.97874218062012
N2,molecule,0.001,0.2,-110.63038110293385
N2,molecule,0.005,0.0,-109.20593559773599
N2,molecule,0.005,0.05,-109.55135763111045
N2,molecule,0.005,0.1,-109.88943962675768
N2,molecule,0.005,0.2,-110.54415556811423
N2,molecule,0.01,0.0,-109.09141927796023
N2,molecule,0.01,0.05,-109.43820573560902
N2,molecule,0.01,0.1,-109.77784839142655
N2,molecule,0.01,0.2,-110.43623329481338
N2,molecule,0.02,0.0,-108.86296965965562
N2,molecule,0.02,0.05,-109.21227692719933
N2,molecule,0.02,0.1,-109.55480682153095
N2,molecule,0.02,0.2,-110.21999461164813
F2,molecule,,,-198.91917232444348
F2,molecule,0.001,0.0,-199.13360090332975
F2,molecule,0.001,0.05,-199.4936631801839
F2,molecule,0.001,0.1,-199.84958223472125
F2,molecule,0.001,0.2,-200.5487819090276
F2,molecule,0.005,0.0,-198.99556892145273
F2,molecule,0.005,0.05,-199.35727667938363
F2,molecule,0.005,0.1,-199.7149129354678
F2,molecule,0.005,0.2,-200.41775347073087
F2,molecule,0.01,0.0,-198.8246304109037
F2,molecule,0.01,0.05,-199.18829939748395
F2,molecule,0.01,0.1,-199.5479855586605
F2,molecule,0.01,0.2,-200.25518189326834
F2,molecule,0.02,0.0,-198.4878260944637
F2,molecule,0.02,0.05,-198.85512322962785
F2,molecule,0.02,0.1,-199.21861146819205
F2,molecule,0.02,0.2,-199.93391627823306
CO,molecule,,,-112.95484041596227
CO,molecule,0.001,0.0,-113.0718713902417
CO,molecule,0.001,0.05,-113.43917284420759
CO,molecule,0.001,0.1,-113.79737353505429
CO,molecule,0.001,0.2,-114.48784099398019
CO,molecule,0.005,0.0,-112.96364037155995
CO,molecule,0.005,0.05,-113.3313840217448
CO,molecule,0.005,0.1,-113.69021270823934
CO,molecule,0.005,0.2,-114.38243724264741
CO,molecule,0.01,0.0,-112.8291420746797
