held,fisher_alpha,fisher_err_ha,mlr_alpha,mlr_lam,mlr_err_ha,winner
H2,0.001,0.00208477415608177,0.001,0.05,0.0022747496901833753,Fisher
LiH,0.001,0.005176350811802344,0.001,0.05,0.01827679916411462,Fisher
CH4,0.001,0.028439570907316636,0.001,0.05,0.08412629061041343,Fisher
NH3,0.001,0.03780716178157206,0.001,0.05,0.09455350868174861,Fisher
H2O,0.001,0.02479397453078036,0.001,0.05,0.06798255718641144,Fisher
HF,0.001,0.012638324996160577,0.001,0.05,0.034785013234369444,Fisher
N2,0.001,0.05894111708536798,0.001,0.05,0.07509723813514313,Fisher
F2,0.001,0.047015352909056674,0.001,0.05,0.053430048411712505,Fisher
CO,0.001,0.04001012026063222,0.001,0.05,0.07317724019000593,Fisher
HCl,0.001,0.009493211395863455,0.001,0.05,0.05551094894133257,Fisher
H2S,0.001,0.017620930697376025,0.001,0.05,0.09537693496366728,Fisher
LiF,0.001,0.024183778439734738,0.001,0.05,0.042901419996582035,Fisher
