entity,kind,lam,inv_lam,S
H,atom,0.05,20.0,4.142768334208363
H,atom,0.1,10.0,4.118664361090901
H,atom,0.2,5.0,4.071237644588049
Li,atom,0.05,20.0,11.027735679187442
Li,atom,0.1,10.0,10.954341655265933
Li,atom,0.2,5.0,10.831026771917143
C,atom,0.05,20.0,18.36025272518441
C,atom,0.1,10.0,18.24368983735255
C,atom,0.2,5.0,18.023800046802336
N,atom,0.05,20.0,19.471994179188666
N,atom,0.1,10.0,19.37890012201899
N,atom,0.2,5.0,19.199698890258073
O,atom,0.05,20.0,20.185385926074588
O,atom,0.1,10.0,20.10464884136333
O,atom,0.2,5.0,19.947235928023314
F,atom,0.05,20.0,20.464367837811654
F,atom,0.1,10.0,20.39533944009109
F,atom,0.2,5.0,20.2594137406052
S,atom,0.05,20.0,36.21239926532456
S,atom,0.1,10.0,36.01324298218811
S,atom,0.2,5.0,35.63802657221507
Cl,atom,0.05,20.0,37.183488572798375
Cl,atom,0.1,10.0,37.01498753596557
Cl,atom,0.2,5.0,36.690607943444654
H2,molecule,0.05,20.0,7.804425233208833
H2,molecule,0.1,10.0,7.766835160452652
H2,molecule,0.2,5.0,7.694411875114821
LiH,molecule,0.05,20.0,15.007237003322352
LiH,molecule,0.1,10.0,14.909783305128716
LiH,molecule,0.2,5.0,14.739578467377992
CH4,molecule,0.05,20.0,39.47923835762367
CH4,molecule,0.1,10.0,39.32815226670111
CH4,molecule,0.2,5.0,39.0405834713164
NH3,molecule,0.05,20.0,35.063449108799894
NH3,molecule,0.1,10.0,34.92559328504019
NH3,molecule,0.2,5.0,34.66134319285405
H2O,molecule,0.05,20.0,30.37639474942251
H2O,molecule,0.1,10.0,30.261926487267168
H2O,molecule,0.2,5.0,30.040146968190083
HF,molecule,0.05,20.0,25.40885613394311
HF,molecule,0.1,10.0,25.323918324188167
HF,molecule,0.2,5.0,25.157132100743013
N2,molecule,0.05,20.0,45.45622424998428
N2,molecule,0.1,10.0,45.324822163497004
N2,molecule,0.2,5.0,45.07118481663493
F2,molecule,0.05,20.0,52.35902574754229
F2,molecule,0.1,10.0,52.25462216452748
F2,molecule,0.2,5.0,52.04930780144254
CO,molecule,0.05,20.0,45.06559925907927
CO,molecule,0.1,10.0,44.91314701110835
CO,molecule,0.2,5.0,44.62129273583898
HCl,molecule,0.05,20.0,43.30380673076693
HCl,molecule,0.1,10.0,43.1175368532165
HCl,molecule,0.2,5.0,42.759226055221006
H2S,molecule,0.05,20.0,48.64438869073207
H2S,molecule,0.1,10.0,48.416570478545
H2S,molecule,0.2,5.0,47.984881122208904
LiF,molecule,0.05,20.0,34.34962487857487
LiF,molecule,0.1,10.0,34.19140484892196
LiF,molecule,0.2,5.0,33.89952507514139
