molecule,AE_PBE_mHa,AE_CCSDT_mHa,PBE_err_mHa,H_vN_M,delta_H_vN,T_fit_K,T_bond_K,ratio_T_fit_T_bond
H2,162.80025276187692,164.7826648873161,-1.982412125439148,0.10259127856652615,0.10259127856652482,-8803.103743764876,52034.2500995586,-0.16917902587087635
LiH,85.34701176065963,80.68009432597023,4.666917434689388,0.7563088597846973,0.11550504166889719,18406.93562293596,25476.758790643027,0.7224991127873127
CH4,668.6680101154466,646.4682066451246,22.19980347032191,1.6955319523816315,0.292167129101661,34615.45891092808,204138.5140177741,0.16956848675754616
NH3,469.52848604050956,436.35632712052796,33.1721589199816,1.6875339802014575,0.09615937939380914,157157.24339608525,137790.43003972003,1.1405526737291005
H2O,360.0859338091027,339.295055908579,20.790877900523697,1.6767020536137445,0.07399337595009148,128006.58231861377,107140.90471084307,1.1947498732074737
HF,215.4640218039816,205.36462866509453,10.09939313888708,1.6626040934879172,0.04037804070008222,113946.8578564394,64849.02071992798,1.7571099238114438
N2,387.5015887186777,333.3320534358677,54.16953528280999,2.0289263207995587,-1.153822880815734,-21387.906644917304,105257.93745684504,-0.2031951904214937
F2,88.7782929196419,46.555600433094924,42.222692486546975,2.2589218445179924,-0.9855302610576762,-19517.683771090633,14701.095883643811,-1.32763461483206
CO,433.11329181102565,398.92396107667594,34.18933073434971,2.0234578265730323,-0.9826156743705874,-15851.093539293212,125970.22372204719,-0.12583206626883975
HCl,165.31217832380207,157.36247892675692,7.949699397045151,2.2380722665515624,0.025168940630647896,143892.47661704267,49691.14069347514,2.895737039015829
H2S,285.1640181621633,270.032467581359,15.131550580804287,2.246846829904995,0.04978716407841022,138458.09808729333,85269.50916067469,1.6237703189588502
LiF,214.7224084914683,194.24104575637102,20.481362735097264,1.8374459810498864,-0.4255838898537472,-21924.312638141637,61336.47105051038,-0.3574433328596136
